,,,,,,,Daily Price Arrival Report-07-11-2025 to 26-02-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,35.50,Metric Tonnes,21-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,200.00","1,000.00",Rs./Quintal,7.00,Metric Tonnes,21-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,42.00,Metric Tonnes,20-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,14.10,Metric Tonnes,20-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,200.00","1,000.00",Rs./Quintal,50.60,Metric Tonnes,20-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,36.00,Metric Tonnes,19-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,15.20,Metric Tonnes,19-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,800.00","1,100.00",Rs./Quintal,35.70,Metric Tonnes,18-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,61.50,Metric Tonnes,18-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,100.00","1,050.00",Rs./Quintal,10.60,Metric Tonnes,18-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,300.00","1,700.00","1,500.00",Rs./Quintal,14.00,Metric Tonnes,17-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,44.00,Metric Tonnes,17-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,400.00","1,200.00",Rs./Quintal,16.70,Metric Tonnes,17-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"2,000.00","1,250.00",Rs./Quintal,54.60,Metric Tonnes,16-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,200.00","1,400.00","1,300.00",Rs./Quintal,2.10,Metric Tonnes,16-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,600.00","1,700.00","1,650.00",Rs./Quintal,36.50,Metric Tonnes,15-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,400.00","1,200.00",Rs./Quintal,42.00,Metric Tonnes,15-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,400.00","1,200.00",Rs./Quintal,20.80,Metric Tonnes,15-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,33.40,Metric Tonnes,14-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,100.00","1,400.00","1,250.00",Rs./Quintal,10.70,Metric Tonnes,14-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,400.00","1,100.00",Rs./Quintal,15.90,Metric Tonnes,14-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,34.20,Metric Tonnes,13-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,51.00,Metric Tonnes,13-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,200.00",850.00,Rs./Quintal,8.30,Metric Tonnes,13-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,400.00","1,100.00",Rs./Quintal,59.00,Metric Tonnes,13-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,29.50,Metric Tonnes,12-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,37.50,Metric Tonnes,12-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,600.00,"1,300.00","1,000.00",Rs./Quintal,25.90,Metric Tonnes,12-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,800.00,"1,800.00","1,300.00",Rs./Quintal,38.40,Metric Tonnes,11-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,52.90,Metric Tonnes,11-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,300.00,"1,300.00",800.00,Rs./Quintal,25.10,Metric Tonnes,11-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"2,000.00","1,250.00",Rs./Quintal,15.80,Metric Tonnes,10-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,400.00","1,000.00",Rs./Quintal,29.00,Metric Tonnes,10-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,800.00","1,400.00",Rs./Quintal,47.00,Metric Tonnes,09-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,300.00","1,250.00",Rs./Quintal,15.60,Metric Tonnes,09-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,48.50,Metric Tonnes,08-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,400.00,"1,400.00",900.00,Rs./Quintal,36.70,Metric Tonnes,08-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","1,700.00","1,600.00",Rs./Quintal,14.90,Metric Tonnes,07-11-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,8.50,Metric Tonnes,07-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,600.00","2,000.00","1,800.00",Rs./Quintal,35.30,Metric Tonnes,06-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,9.00,Metric Tonnes,06-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,20.20,Metric Tonnes,06-01-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,500.00","2,000.00","1,700.00",Rs./Quintal,22.30,Metric Tonnes,05-12-2025
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,700.00,"1,250.00","1,000.00",Rs./Quintal,19.90,Metric Tonnes,05-02-2026
Maharashtra,Ahmednagar,Rahata APMC,Vegetables,Potato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,29.60,Metric Tonnes,04-12-2025
